date,code,key,raw,ret
2021-09-28,2330.TW,adr,1.76,-1.329
2021-09-28,2330.TW,us_index,-0.37,-1.329
2021-09-28,2330.TW,nvda,-1.53,-1.329
2021-09-29,2330.TW,adr,-14.64,-2.357
2021-09-29,2330.TW,us_index,-5.71,-2.357
2021-09-29,2330.TW,nvda,-3.55,-2.357
2021-09-29,2330.TW,vix,-3.0,-2.357
2021-10-01,2330.TW,adr,0.11,-1.035
2021-10-01,2330.TW,us_index,-0.26,-1.035
2021-10-01,2330.TW,nvda,0.78,-1.035
2021-10-04,2330.TW,adr,-0.32,-0.348
2021-10-04,2330.TW,us_index,0.14,-0.348
2021-10-04,2330.TW,nvda,0.1,-0.348
2021-10-06,2330.TW,adr,0.88,-0.175
2021-10-06,2330.TW,us_index,2.23,-0.175
2021-10-06,2330.TW,nvda,2.92,-0.175
2021-10-07,2330.TW,adr,0.29,1.576
2021-10-07,2330.TW,us_index,0.54,1.576
2021-10-07,2330.TW,nvda,0.97,1.576
2021-10-08,2330.TW,adr,5.45,-0.862
2021-10-08,2330.TW,us_index,1.65,-0.862
2021-10-08,2330.TW,nvda,1.45,-0.862
2021-10-13,2330.TW,adr,-3.85,-0.696
2021-10-13,2330.TW,us_index,-2.01,-0.696
2021-10-13,2330.TW,nvda,-0.09,-0.696
2021-10-14,2330.TW,adr,2.86,0.35
2021-10-14,2330.TW,us_index,0.69,0.35
2021-10-14,2330.TW,nvda,1.04,0.35
2021-10-15,2330.TW,adr,9.38,4.712
2021-10-15,2330.TW,us_index,4.63,4.712
2021-10-15,2330.TW,nvda,3.08,4.712
2021-10-18,2330.TW,adr,8.17,-1.667
2021-10-18,2330.TW,us_index,1.06,-1.667
2021-10-18,2330.TW,nvda,0.43,-1.667
2021-10-19,2330.TW,adr,1.67,1.695
2021-10-19,2330.TW,us_index,1.1,1.695
2021-10-19,2330.TW,nvda,1.32,1.695
2021-10-20,2330.TW,adr,5.62,-0.333
2021-10-20,2330.TW,us_index,1.92,-0.333
2021-10-20,2330.TW,nvda,0.24,-0.333
2021-10-21,2330.TW,adr,-4.69,-0.334
2021-10-21,2330.TW,us_index,-0.32,-0.334
2021-10-21,2330.TW,nvda,-0.67,-0.334
2021-10-22,2330.TW,adr,2.42,0.671
2021-10-22,2330.TW,us_index,1.68,0.671
2021-10-22,2330.TW,nvda,2.13,0.671
2021-10-25,2330.TW,adr,-7.09,-1.167
2021-10-25,2330.TW,us_index,-1.84,-1.167
2021-10-25,2330.TW,nvda,0.12,-1.167
2021-10-26,2330.TW,adr,-2.07,1.012
2021-10-26,2330.TW,us_index,0.98,1.012
2021-10-26,2330.TW,nvda,1.55,1.012
2021-10-28,2330.TW,adr,-1.51,-0.668
2021-10-28,2330.TW,us_index,-1.44,-0.668
2021-10-28,2330.TW,nvda,-0.86,-0.668
2021-10-29,2330.TW,adr,7.95,-0.84
2021-10-29,2330.TW,us_index,3.51,-0.84
2021-10-29,2330.TW,nvda,1.6,-0.84
2021-11-02,2330.TW,adr,1.48,0.339
2021-11-02,2330.TW,us_index,2.39,0.339
2021-11-02,2330.TW,nvda,0.81,0.339
2021-11-04,2330.TW,adr,-0.35,-0.845
2021-11-04,2330.TW,us_index,1.75,-0.845
2021-11-04,2330.TW,nvda,0.6,-0.845
2021-11-05,2330.TW,adr,13.26,2.215
2021-11-05,2330.TW,us_index,5.25,2.215
2021-11-05,2330.TW,nvda,4.0,2.215
2021-11-08,2330.TW,adr,0.03,0.333
2021-11-08,2330.TW,us_index,1.65,0.333
2021-11-08,2330.TW,nvda,-0.13,0.333
2021-11-09,2330.TW,adr,10.56,1.495
2021-11-09,2330.TW,us_index,1.87,1.495
2021-11-09,2330.TW,nvda,2.83,1.495
2021-11-10,2330.TW,adr,2.88,0.164
2021-11-10,2330.TW,us_index,-0.11,0.164
2021-11-10,2330.TW,nvda,-0.38,0.164
2021-11-11,2330.TW,adr,-11.76,-0.98
2021-11-11,2330.TW,us_index,-4.24,-0.98
2021-11-11,2330.TW,nvda,-3.13,-0.98
2021-11-12,2330.TW,adr,-0.03,-0.33
2021-11-12,2330.TW,us_index,2.9,-0.33
2021-11-12,2330.TW,nvda,2.53,-0.33
2021-11-15,2330.TW,adr,1.69,0.662
2021-11-15,2330.TW,us_index,1.2,0.662
2021-11-16,2330.TW,adr,-1.92,0.329
2021-11-16,2330.TW,us_index,-0.03,0.329
2021-11-16,2330.TW,nvda,-0.96,0.329
2021-11-18,2330.TW,adr,3.32,0.492
2021-11-18,2330.TW,us_index,-1.09,0.492
2021-11-18,2330.TW,nvda,-2.5,0.492
2021-11-19,2330.TW,adr,14.55,0.816
2021-11-19,2330.TW,us_index,2.68,0.816
2021-11-19,2330.TW,nvda,4.0,0.816
2021-11-22,2330.TW,adr,2.82,-0.485
2021-11-22,2330.TW,us_index,0.46,-0.485
2021-11-22,2330.TW,nvda,3.31,-0.485
2021-11-23,2330.TW,adr,1.58,-0.488
2021-11-23,2330.TW,us_index,-2.49,-0.488
2021-11-23,2330.TW,nvda,-2.5,-0.488
2021-11-24,2330.TW,adr,-10.87,-1.471
2021-11-24,2330.TW,us_index,-0.49,-1.471
2021-11-24,2330.TW,nvda,-0.53,-1.471
2021-11-29,2330.TW,adr,-12.0,-0.503
2021-11-29,2330.TW,us_index,-4.38,-0.503
2021-11-29,2330.TW,nvda,-2.87,-0.503
2021-11-29,2330.TW,vix,-3.0,-0.503
2021-11-30,2330.TW,adr,7.48,0.506
2021-11-30,2330.TW,us_index,6.0,0.506
2021-11-30,2330.TW,nvda,4.0,0.506
2021-11-30,2330.TW,vix,2.0,0.506
2021-12-01,2330.TW,adr,-7.14,0.671
2021-12-01,2330.TW,us_index,-2.97,0.671
2021-12-01,2330.TW,nvda,-1.68,0.671
2021-12-01,2330.TW,vix,-3.0,0.671
2021-12-02,2330.TW,adr,11.88,2.5
2021-12-02,2330.TW,us_index,-0.88,2.5
2021-12-02,2330.TW,nvda,-3.04,2.5
2021-12-02,2330.TW,vix,-5.0,2.5
2021-12-03,2330.TW,adr,3.55,-1.138
2021-12-03,2330.TW,us_index,0.0,-1.138
2021-12-03,2330.TW,nvda,1.76,-1.138
2021-12-03,2330.TW,vix,2.0,-1.138
2021-12-06,2330.TW,adr,-7.79,-1.316
2021-12-06,2330.TW,us_index,-0.25,-1.316
2021-12-06,2330.TW,nvda,-3.57,-1.316
2021-12-06,2330.TW,vix,-2.0,-1.316
2021-12-07,2330.TW,adr,-0.64,1.167
2021-12-07,2330.TW,us_index,-0.18,1.167
2021-12-07,2330.TW,nvda,-1.71,1.167
2021-12-07,2330.TW,vix,2.0,1.167
2021-12-08,2330.TW,adr,10.68,-0.824
2021-12-08,2330.TW,us_index,6.0,-0.824
2021-12-08,2330.TW,nvda,4.0,-0.824
2021-12-08,2330.TW,vix,2.0,-0.824
2021-12-09,2330.TW,adr,-1.7,0.997
2021-12-09,2330.TW,us_index,-0.91,0.997
2021-12-09,2330.TW,nvda,-1.48,0.997
2021-12-10,2330.TW,adr,-7.55,-0.493
