code,date,big1000,big400,retail,people
000218,20260918,100.0,100.0,0.0,1.0
000560,20260918,100.0,100.0,0.0,1.0
000708,20260918,100.0,100.0,0.0,1.0
000779,20260918,100.0,100.0,0.0,1.0
000815,20260918,100.0,100.0,0.0,1.0
000856,20260918,100.0,100.0,0.0,1.0
00400A,20260918,9.79,15.03,50.26,136469.0
00401A,20260918,21.73,25.18,47.26,18115.0
00402A,20260918,13.54,20.75,51.48,46277.0
00403A,20260918,9.76,15.25,50.19,912433.0
00404A,20260918,10.22,14.42,57.28,30162.0
00405A,20260918,11.49,17.85,44.64,149183.0
00406A,20260918,10.04,22.15,37.63,177069.0
00407A,20260918,16.8,23.64,43.11,132102.0
00408A,20260918,18.94,30.15,41.35,8286.0
00409A,20260918,25.25,38.22,28.95,50882.0
00410A,20260918,22.61,29.67,40.84,10094.0
00411A,20260918,19.77,29.0,37.61,21353.0
0050,20260918,23.82,25.46,56.42,3560731.0
0051,20260918,0.0,13.69,76.43,12743.0
0052,20260918,17.96,20.1,65.11,456022.0
0053,20260918,45.36,49.94,38.0,7311.0
0055,20260918,31.07,39.95,45.59,16319.0
0056,20260918,9.14,11.48,63.01,1656819.0
0057,20260918,0.0,0.0,52.95,3649.0
0061,20260918,22.64,33.14,37.17,6003.0
006201,20260918,37.89,48.64,46.94,5377.0
006203,20260918,59.82,74.49,14.02,3886.0
006204,20260918,0.0,0.0,58.27,1151.0
006205,20260918,32.99,45.69,35.8,8810.0
006206,20260918,11.18,21.31,55.86,3083.0
006207,20260918,0.0,11.45,41.0,1610.0
006208,20260918,9.72,10.24,81.36,715428.0
00625K,20260918,0.0,0.0,40.21,12.0
00631L,20260918,19.32,29.29,31.4,307710.0
00632R,20260918,30.68,45.04,18.71,64205.0
00633L,20260918,20.25,34.8,24.5,3659.0
00634R,20260918,43.31,54.65,15.09,756.0
00635U,20260918,15.43,19.15,60.96,57502.0
00636,20260918,14.56,21.78,48.76,8186.0
00636K,20260918,0.0,0.0,99.98,8.0
00637L,20260918,42.26,57.08,14.02,11927.0
00638R,20260918,37.14,52.84,17.46,499.0
00639,20260918,15.65,24.85,39.9,5695.0
00640L,20260918,0.0,28.3,51.83,1296.0
00641R,20260918,46.68,58.29,13.73,1291.0
00642U,20260918,40.19,47.29,38.53,6971.0
00643,20260918,27.26,40.89,31.92,3164.0
00643K,20260918,0.0,0.0,23.84,5.0
00645,20260918,16.56,26.41,57.42,9760.0
00646,20260918,40.01,44.11,43.25,114568.0
00647L,20260918,31.08,31.08,47.65,1525.0
00648R,20260918,36.62,47.33,16.74,2352.0
00650L,20260918,36.5,48.21,19.43,2244.0
00651R,20260918,53.36,69.7,10.1,373.0
00652,20260918,24.99,30.92,53.5,9309.0
00653L,20260918,0.0,6.78,49.99,1255.0
00654R,20260918,39.41,56.7,15.41,361.0
00655L,20260918,15.45,28.39,31.89,2219.0
00656R,20260918,46.86,76.71,10.69,310.0
00657,20260918,0.0,15.05,66.01,1643.0
00657K,20260918,0.0,0.0,99.99,4.0
00660,20260918,0.0,16.18,35.72,1026.0
00661,20260918,4.93,16.53,65.91,7252.0
00662,20260918,32.28,36.73,36.49,111608.0
00663L,20260918,21.95,26.45,48.74,14174.0
00664R,20260918,39.81,59.16,9.99,9935.0
00665L,20260918,42.38,57.29,12.37,5092.0
00666R,20260918,68.5,80.86,6.57,121.0
00668,20260918,20.87,31.82,53.26,2032.0
00668K,20260918,0.0,0.0,100.0,4.0
00669R,20260918,34.52,45.99,15.44,3088.0
00670L,20260918,6.48,11.95,65.02,12494.0
00671R,20260918,52.75,68.97,6.62,3536.0
00673R,20260918,39.51,51.53,14.35,16895.0
00674R,20260918,40.4,45.72,37.72,1277.0
00675L,20260918,15.01,19.82,63.16,18793.0
00676R,20260918,32.29,47.26,17.49,4331.0
00678,20260918,0.0,23.85,44.48,1876.0
00679B,20260918,37.49,42.69,29.91,233338.0
00680L,20260918,38.66,53.83,13.74,19113.0
00681R,20260918,70.67,90.61,2.12,100.0
00682U,20260918,52.27,77.86,6.66,259.0
00683L,20260918,60.0,68.01,15.1,319.0
00684R,20260918,73.79,81.26,7.74,167.0
00685L,20260918,21.58,33.57,28.08,190002.0
00686R,20260918,51.11,68.57,7.03,2052.0
00687B,20260918,36.41,42.34,28.94,152598.0
00687C,20260918,93.67,93.67,6.3,16.0
00688L,20260918,35.42,49.36,15.12,9098.0
00689R,20260918,73.94,87.48,0.31,46.0
00690,20260918,7.91,13.38,70.42,17110.0
00692,20260918,14.99,16.7,69.6,91243.0
00693U,20260918,36.6,43.29,30.73,2890.0
00694B,20260918,56.88,63.34,24.09,2000.0
00695B,20260918,68.8,73.54,19.46,2246.0
00696B,20260918,82.06,82.98,11.13,10941.0
00697B,20260918,19.24,22.8,52.82,6735.0
00700,20260918,5.16,11.77,46.99,2595.0
00701,20260918,5.41,6.9,83.54,37720.0
00702,20260918,31.04,55.08,37.16,1149.0
00703,20260918,0.0,27.01,48.24,1016.0
00706L,20260918,22.05,31.72,32.42,6037.0
00707R,20260918,77.06,95.08,0.26,23.0
00708L,20260918,18.65,26.05,48.17,18165.0
00709,20260918,7.44,33.42,44.64,2257.0
00710B,20260918,81.03,81.57,12.67,3706.0
00711B,20260918,99.18,99.28,0.38,796.0
00712,20260918,19.46,31.02,24.69,145534.0
00713,20260918,20.86,22.08,65.25,269348.0
00714,20260918,15.98,47.1,40.96,2374.0
00715L,20260918,53.68,59.93,20.84,3318.0
00717,20260918,17.92,26.33,44.73,7515.0
00719B,20260918,22.94,30.04,35.53,14841.0
00720B,20260918,62.48,65.79,16.83,77572.0
00722B,20260918,89.15,89.92,6.95,13452.0
00723B,20260918,99.65,99.72,0.09,470.0
00724B,20260918,97.5,97.64,1.48,6172.0
00725B,20260918,80.41,82.0,9.37,41166.0
00726B,20260918,97.65,97.95,1.11,1719.0
00727B,20260918,87.58,89.71,6.55,725.0
00728,20260918,2.91,2.91,80.63,9916.0
00730,20260918,12.01,15.67,74.23,13043.0
00731,20260918,0.0,15.64,73.87,8171.0
00733,20260918,11.52,13.05,77.5,20648.0
00734B,20260918,80.06,82.54,10.14,519.0
00735,20260918,14.05,20.9,63.49,31782.0
00736,20260918,41.59,72.85,18.1,491.0
00737,20260918,9.34,15.05,72.15,5480.0
00738U,20260918,12.8,20.35,53.59,32751.0
00739,20260918,19.58,38.34,39.53,1956.0
00740B,20260918,96.26,96.66,1.77,6003.0
