code,quarter,gross,operating,net
1101.TW,2026Q2,18.22,7.25,6.41
1102.TW,2026Q2,13.56,8.87,21.53
1103.TW,2026Q2,20.75,1.33,13.35
1104.TW,2026Q2,27.15,15.36,22.05
1108.TW,2026Q2,13.11,6.99,4.61
1109.TW,2026Q2,9.12,1.66,1.48
1110.TW,2026Q2,15.96,8.86,15.79
1201.TW,2026Q2,26.62,-0.43,2.34
1203.TW,2026Q2,34.28,15.1,12.49
1210.TW,2026Q2,13.71,3.89,2.91
1213.TW,2026Q2,-1.78,-15.27,-20.96
1215.TW,2026Q2,18.27,9.26,6.7
1216.TW,2026Q2,33.88,5.86,6.01
1217.TW,2026Q2,26.31,0.84,4.5
1218.TW,2026Q2,15.76,-1.0,-15.63
1219.TW,2026Q2,5.35,-2.88,-5.41
1220.TW,2026Q2,8.74,-1.69,-1.11
1225.TW,2026Q2,6.72,1.63,-1.98
1227.TW,2026Q2,23.34,4.15,5.3
1229.TW,2026Q2,21.32,7.77,44.71
1231.TW,2026Q2,20.1,7.5,10.87
1232.TW,2026Q2,13.85,8.36,6.88
1233.TW,2026Q2,60.54,4.85,4.75
1234.TW,2026Q2,27.3,2.48,5.43
1235.TW,2026Q2,29.18,-2.58,38.91
1236.TW,2026Q2,23.93,-3.64,-1.55
1256.TW,2026Q2,32.12,16.65,12.14
1301.TW,2026Q2,8.44,1.77,15.6
1303.TW,2026Q2,15.76,9.92,27.74
1304.TW,2026Q2,8.37,-1.07,-7.04
1305.TW,2026Q2,8.58,0.09,-0.04
1307.TW,2026Q2,31.48,12.33,10.26
1308.TW,2026Q2,10.44,6.36,-3.17
1309.TW,2026Q2,2.52,-7.04,-7.61
1310.TW,2026Q2,1.9,-0.17,-14.41
1312.TW,2026Q2,-0.17,-11.15,-14.56
1313.TW,2026Q2,6.52,2.02,1.34
1314.TW,2026Q2,-1.12,-9.51,-24.99
1315.TW,2026Q2,13.04,-5.34,4.66
1316.TW,2026Q2,33.44,4.35,3.76
1319.TW,2026Q2,32.52,15.76,15.46
1321.TW,2026Q2,11.85,1.64,8.97
1323.TW,2026Q2,19.88,5.86,8.6
1324.TW,2026Q2,18.77,-0.47,-0.57
1325.TW,2026Q2,-23.69,-42.76,-22.23
1326.TW,2026Q2,7.02,2.99,7.73
1337.TW,2026Q2,-14.1,-71.94,-82.85
1338.TW,2026Q2,23.45,-4.62,-6.36
1339.TW,2026Q2,25.19,4.37,35.25
1340.TW,2026Q2,-141.43,-309.2,-186.24
1341.TW,2026Q2,24.02,13.75,10.84
1342.TW,2026Q2,25.68,18.32,16.69
1402.TW,2026Q2,20.8,7.75,8.38
1410.TW,2026Q2,34.79,5.0,4.7
1413.TW,2026Q2,3.82,1.63,2.27
1414.TW,2026Q2,11.78,-6.08,30.55
1416.TW,2026Q2,39.9,3.95,56.0
1417.TW,2026Q2,63.6,-8.95,-12.11
1418.TW,2026Q2,5.22,-1269.22,-2690.95
1419.TW,2026Q2,25.88,9.09,130.85
1423.TW,2026Q2,17.23,-20.37,92.27
1432.TW,2026Q2,15.39,-31.58,-32.89
1434.TW,2026Q2,11.06,2.41,5.92
1435.TW,2026Q2,64.13,-2419.83,-2506.15
1436.TW,2026Q2,59.37,32.17,5.33
1437.TW,2026Q2,65.17,50.32,101.19
1438.TW,2026Q2,39.51,28.97,6.24
1439.TW,2026Q2,28.14,-0.15,91.22
1440.TW,2026Q2,10.72,-1.69,3.54
1441.TW,2026Q2,1.45,-12.14,-17.5
1442.TW,2026Q2,49.89,36.61,31.48
1443.TW,2026Q2,47.28,35.59,32.24
1444.TW,2026Q2,4.17,-1.41,2.65
1445.TW,2026Q2,13.5,-6.98,-9.42
1446.TW,2026Q2,40.81,21.29,31.76
1447.TW,2026Q2,2.57,0.28,0.8
1449.TW,2026Q2,12.96,-3.12,-0.42
1451.TW,2026Q2,14.33,3.72,4.02
1452.TW,2026Q2,5.61,-0.82,-1.25
1453.TW,2026Q2,60.61,-2412.6,8214.99
1454.TW,2026Q2,3.19,-9.12,-7.74
1455.TW,2026Q2,8.72,2.73,16.9
1456.TW,2026Q2,42.38,27.37,-27.3
1457.TW,2026Q2,9.21,9.41,12.37
1459.TW,2026Q2,21.28,9.77,80.74
